module,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
module_Shah_08,-0.7783288533551802,3.0954335720967348,-6.352340895116511,1.4401215372099781e-5,1.3681154603494792e-4,3.1771616428271248,status:cell,down
module_Shah_12,-0.6064330059280275,4.022003298692196,-4.918333829566139,1.9781039929731985e-4,0.0012527991955496923,0.5200034895426038,status:cell,down
module_Shah_01,0.3332479049624452,4.943237727498491,4.244851318448763,7.395425492647979e-4,0.0031288068513575123,-0.8089609458478684,status:cell,up
module_Shah_11,-0.6373459725953551,1.9788381567354203,-4.191000312304563,8.233702240414507e-4,0.0031288068513575123,-0.9166929283118028,status:cell,down
module_Shah_05,-0.4746030541024002,4.520220820756208,-4.0702810707090125,0.0010483355601966084,0.003319729273955926,-1.1587205433491006,status:cell,down
module_Shah_00,0.4318990485489488,0.0634202813847903,3.0272782615879743,0.0086621312339465,0.023511499063569072,-3.24662318042429,status:cell,up
module_Shah_10,0.20388072390451617,5.960555252976818,2.6005640733028805,0.020350780640981114,0.048333104022330146,-4.068531689086312,status:cell,up
module_Shah_16,0.6275225898269761,3.632748292985477,2.2686347970098795,0.03884451850485129,0.07567775033923864,-4.675960981625997,status:cell,up
module_Shah_18,0.21751170016823473,5.894704185591625,2.221108895226555,0.04253251639853794,0.07567775033923864,-4.7598764213625415,status:cell,up
module_Shah_03,0.3498119997727525,4.383459275287225,2.20549974907601,0.04381343440692763,0.07567775033923864,-4.787247556521333,status:cell,up
module_Shah_04,0.17748885764442254,4.277317264143857,2.1461766393989175,0.04901626530451539,0.07760908673214936,-4.890384462252001,status:cell,up
module_Shah_09,-0.1540444183590781,3.857915231501231,-2.0709580912080767,0.05643537862156024,0.08248247644689573,-5.019041558368487,status:cell,down
module_Shah_06,-0.5458496021573134,1.242892406183819,-2.0008995334577255,0.06425986463248763,0.0872098162869475,-5.136615719875847,status:cell,down
module_Shah_15,-0.3278825684364449,5.254559808659101,-1.8715566143179638,0.08134341580038575,0.10303499334715527,-5.347510915318248,status:cell,down
module_Shah_02,0.44726231126919025,1.7671766802010092,1.189514678788699,0.25313278982190623,0.30059518791351364,-6.2947916467913485,status:cell,up
module_Shah_17,0.07070312722688124,5.816013333201745,0.8998405450913243,0.3827379611467818,0.427765956575815,-6.592711224785659,status:cell,up
module_Shah_14,0.052484036150971115,5.669737106574334,0.6800953104460854,0.5070349819278701,0.535203592034974,-6.7689570033618525,status:cell,up
module_Shah_13,0.005730901717772907,3.403977447064274,0.029695242748247162,0.9767103014465792,0.9767103014465792,-7.009731714934098,status:cell,up
