geneName,module,mgi_symbol,gene_biotype,module.char,mod.color
ENSMUSG00000048163,6,Selplg,protein_coding,06,red
ENSMUSG00000048170,9,Mcmbp,protein_coding,09,magenta
ENSMUSG00000048200,6,Cracr2b,protein_coding,06,red
ENSMUSG00000048218,0,Amigo2,protein_coding,00,grey
ENSMUSG00000048251,3,Bcl11b,protein_coding,03,brown
ENSMUSG00000048264,13,Dip2c,protein_coding,13,salmon
ENSMUSG00000048277,18,Syngr2,protein_coding,18,lightgreen
ENSMUSG00000048376,3,F2r,protein_coding,03,brown
ENSMUSG00000048445,1,Ccdc57,protein_coding,01,turquoise
ENSMUSG00000048480,11,Cxcr1,protein_coding,11,greenyellow
ENSMUSG00000048497,20,Mmgt2,protein_coding,20,royalblue
ENSMUSG00000048498,9,Cd300e,protein_coding,09,magenta
ENSMUSG00000048521,3,Cxcr6,protein_coding,03,brown
ENSMUSG00000048578,17,Mlec,protein_coding,17,grey60
ENSMUSG00000048581,6,E130311K13Rik,protein_coding,06,red
ENSMUSG00000048647,12,Exd1,protein_coding,12,tan
ENSMUSG00000048696,10,Mex3d,protein_coding,10,purple
ENSMUSG00000048701,2,Ccdc6,protein_coding,02,blue
ENSMUSG00000048721,9,Fndc9,protein_coding,09,magenta
ENSMUSG00000048779,14,P2ry6,protein_coding,14,cyan
ENSMUSG00000048787,7,Dcun1d3,protein_coding,07,black
ENSMUSG00000048834,6,Vstm2a,protein_coding,06,red
ENSMUSG00000048852,9,Gm12185,protein_coding,09,magenta
ENSMUSG00000048865,1,Arhgap30,protein_coding,01,turquoise
ENSMUSG00000048911,11,Rnf24,protein_coding,11,greenyellow
ENSMUSG00000048920,17,Fkrp,protein_coding,17,grey60
ENSMUSG00000049037,9,Clec4a1,protein_coding,09,magenta
ENSMUSG00000049047,19,Armcx3,protein_coding,19,lightyellow
ENSMUSG00000049076,1,Acap2,protein_coding,01,turquoise
ENSMUSG00000049086,8,Bmyc,protein_coding,08,pink
ENSMUSG00000049093,11,Il23r,protein_coding,11,greenyellow
ENSMUSG00000049103,9,Ccr2,protein_coding,09,magenta
ENSMUSG00000049109,3,Themis,protein_coding,03,brown
ENSMUSG00000049130,8,C5ar1,protein_coding,08,pink
ENSMUSG00000049164,1,Zfp518a,protein_coding,01,turquoise
ENSMUSG00000049191,1,Rtl5,protein_coding,01,turquoise
ENSMUSG00000049299,2,Trappc1,protein_coding,02,blue
ENSMUSG00000049313,1,Sorl1,protein_coding,01,turquoise
ENSMUSG00000049321,13,Zfp2,protein_coding,13,salmon
ENSMUSG00000049323,1,Smcr8,protein_coding,01,turquoise
ENSMUSG00000049339,16,Retreg2,protein_coding,16,lightcyan
ENSMUSG00000049354,1,Dcaf7,protein_coding,01,turquoise
ENSMUSG00000049404,6,Rarres1,protein_coding,06,red
ENSMUSG00000049521,3,Cdc42ep1,protein_coding,03,brown
ENSMUSG00000049532,11,Sall2,protein_coding,11,greenyellow
ENSMUSG00000049536,0,Tceal1,protein_coding,00,grey
ENSMUSG00000049555,21,Tmie,protein_coding,21,darkred
ENSMUSG00000049562,15,Ap5b1,protein_coding,15,midnightblue
ENSMUSG00000049577,13,Zfpm1,protein_coding,13,salmon
ENSMUSG00000049598,11,Vsig8,protein_coding,11,greenyellow
ENSMUSG00000049624,6,Slc17a5,protein_coding,06,red
ENSMUSG00000049643,10,2310022A10Rik,protein_coding,10,purple
ENSMUSG00000049657,3,Zbtb5,protein_coding,03,brown
ENSMUSG00000049670,2,Morn4,protein_coding,02,blue
ENSMUSG00000049676,7,Catsperg1,protein_coding,07,black
ENSMUSG00000049680,17,Urgcp,protein_coding,17,grey60
ENSMUSG00000049690,1,Nckap5,protein_coding,01,turquoise
ENSMUSG00000049723,16,Mmp12,protein_coding,16,lightcyan
ENSMUSG00000049739,1,Zfp646,protein_coding,01,turquoise
ENSMUSG00000049775,2,Tmsb4x,protein_coding,02,blue
ENSMUSG00000049823,7,Zbtb12,protein_coding,07,black
ENSMUSG00000049848,10,Ceacam19,protein_coding,10,purple
ENSMUSG00000049866,9,Arl4c,protein_coding,09,magenta
ENSMUSG00000049929,0,Lpar4,protein_coding,00,grey
ENSMUSG00000049932,11,H2ax,protein_coding,11,greenyellow
ENSMUSG00000049939,18,Lrrc4,protein_coding,18,lightgreen
ENSMUSG00000049957,0,Ccdc137,protein_coding,00,grey
ENSMUSG00000049988,8,Lrrc25,protein_coding,08,pink
ENSMUSG00000050014,13,Apol10b,protein_coding,13,salmon
ENSMUSG00000050022,12,Amz1,protein_coding,12,tan
ENSMUSG00000050043,5,Tmx2,protein_coding,05,green
ENSMUSG00000050052,3,Tdrp,protein_coding,03,brown
ENSMUSG00000050075,3,Gpr171,protein_coding,03,brown
ENSMUSG00000050103,12,Agmo,protein_coding,12,tan
ENSMUSG00000050106,3,Tmc8,protein_coding,03,brown
ENSMUSG00000050132,20,Sarm1,protein_coding,20,royalblue
ENSMUSG00000050147,1,F2rl3,protein_coding,01,turquoise
ENSMUSG00000050188,10,Lsm10,protein_coding,10,purple
ENSMUSG00000050199,10,Lgr4,protein_coding,10,purple
ENSMUSG00000050213,4,Snip1,protein_coding,04,yellow
ENSMUSG00000050232,3,Cxcr3,protein_coding,03,brown
ENSMUSG00000050244,9,Heatr1,protein_coding,09,magenta
ENSMUSG00000050271,11,Prag1,protein_coding,11,greenyellow
ENSMUSG00000050335,14,Lgals3,protein_coding,14,cyan
ENSMUSG00000050357,3,Carmil2,protein_coding,03,brown
ENSMUSG00000050370,6,Ch25h,protein_coding,06,red
ENSMUSG00000050379,3,Sept6,protein_coding,03,brown
ENSMUSG00000050382,1,Kif7,protein_coding,01,turquoise
ENSMUSG00000050390,10,C77080,protein_coding,10,purple
ENSMUSG00000050423,17,Ppp1r3g,protein_coding,17,grey60
ENSMUSG00000050471,12,Fam118b,protein_coding,12,tan
ENSMUSG00000050493,2,Fam167b,protein_coding,02,blue
ENSMUSG00000050530,12,Fam171a1,protein_coding,12,tan
ENSMUSG00000050549,4,Fam241a,protein_coding,04,yellow
ENSMUSG00000050552,2,Lamtor4,protein_coding,02,blue
ENSMUSG00000050555,6,Hyls1,protein_coding,06,red
ENSMUSG00000050565,12,Tor1aip2,protein_coding,12,tan
ENSMUSG00000050578,8,Mmp13,protein_coding,08,pink
ENSMUSG00000050592,3,Fam78a,protein_coding,03,brown
ENSMUSG00000050600,13,Zfp831,protein_coding,13,salmon
ENSMUSG00000050608,2,Micos10,protein_coding,02,blue
ENSMUSG00000050628,22,Ubald2,protein_coding,22,darkgreen
ENSMUSG00000050721,0,Plekho2,protein_coding,00,grey
ENSMUSG00000050737,1,Ptges,protein_coding,01,turquoise
ENSMUSG00000050742,1,Olfr164,protein_coding,01,turquoise
ENSMUSG00000050751,18,Pgbd5,protein_coding,18,lightgreen
ENSMUSG00000050777,18,Tmem37,protein_coding,18,lightgreen
ENSMUSG00000050822,1,Slc29a4,protein_coding,01,turquoise
ENSMUSG00000050856,10,Atp5k,protein_coding,10,purple
ENSMUSG00000050890,1,Pdik1l,protein_coding,01,turquoise
ENSMUSG00000050910,0,Cdr2l,protein_coding,00,grey
ENSMUSG00000050914,3,Ankrd37,protein_coding,03,brown
ENSMUSG00000050919,21,Zfp366,protein_coding,21,darkred
ENSMUSG00000050921,3,P2ry10,protein_coding,03,brown
ENSMUSG00000050957,7,Insl6,protein_coding,07,black
ENSMUSG00000050965,24,Prkca,protein_coding,24,darkgrey
ENSMUSG00000050994,3,Adgb,protein_coding,03,brown
ENSMUSG00000051022,3,Hs3st1,protein_coding,03,brown
ENSMUSG00000051065,10,Mb21d2,protein_coding,10,purple
ENSMUSG00000051111,7,Sv2c,protein_coding,07,black
ENSMUSG00000051118,22,Olfr77,protein_coding,22,darkgreen
ENSMUSG00000051124,3,Gimap9,protein_coding,03,brown
ENSMUSG00000051169,11,Rpusd3,protein_coding,11,greenyellow
ENSMUSG00000051177,12,Plcb1,protein_coding,12,tan
ENSMUSG00000051185,2,Fam174a,protein_coding,02,blue
ENSMUSG00000051234,5,Rnf7,protein_coding,05,green
ENSMUSG00000051236,13,Msrb3,protein_coding,13,salmon
ENSMUSG00000051238,16,Swsap1,protein_coding,16,lightcyan
ENSMUSG00000051319,2,Mtln,protein_coding,02,blue
ENSMUSG00000051339,21,2900026A02Rik,protein_coding,21,darkred
ENSMUSG00000051343,15,Rab11fip5,protein_coding,15,midnightblue
ENSMUSG00000051354,3,Samd3,protein_coding,03,brown
ENSMUSG00000051355,2,Commd1,protein_coding,02,blue
ENSMUSG00000051359,13,Ncald,protein_coding,13,salmon
ENSMUSG00000051367,7,Six1,protein_coding,07,black
ENSMUSG00000051375,1,Pcdh1,protein_coding,01,turquoise
ENSMUSG00000051397,13,Tacstd2,protein_coding,13,salmon
ENSMUSG00000051412,4,Vamp7,protein_coding,04,yellow
ENSMUSG00000051413,9,Plagl2,protein_coding,09,magenta
ENSMUSG00000051435,5,Fhad1,protein_coding,05,green
ENSMUSG00000051498,18,Tlr6,protein_coding,18,lightgreen
ENSMUSG00000051506,17,Wdfy4,protein_coding,17,grey60
ENSMUSG00000051510,16,Mafg,protein_coding,16,lightcyan
ENSMUSG00000051518,2,Rps19bp1,protein_coding,02,blue
ENSMUSG00000051557,2,Pusl1,protein_coding,02,blue
ENSMUSG00000051579,5,Tceal8,protein_coding,05,green
ENSMUSG00000051586,13,Mical3,protein_coding,13,salmon
ENSMUSG00000051615,8,Rap2a,protein_coding,08,pink
ENSMUSG00000051648,7,Kctd19,protein_coding,07,black
ENSMUSG00000051669,2,AU021092,protein_coding,02,blue
ENSMUSG00000051671,2,Coa6,protein_coding,02,blue
ENSMUSG00000051682,7,Treml4,protein_coding,07,black
ENSMUSG00000051695,2,Pcbp1,protein_coding,02,blue
ENSMUSG00000051703,19,Tmem198,protein_coding,19,lightyellow
ENSMUSG00000051730,2,Mettl5,protein_coding,02,blue
ENSMUSG00000051736,5,Fam229b,protein_coding,05,green
ENSMUSG00000051748,6,Wfdc21,protein_coding,06,red
ENSMUSG00000051786,1,Tubgcp6,protein_coding,01,turquoise
ENSMUSG00000051864,14,Tbc1d22a,protein_coding,14,cyan
ENSMUSG00000051906,4,Cd209f,protein_coding,04,yellow
ENSMUSG00000051969,15,Tlr11,protein_coding,15,midnightblue
ENSMUSG00000051977,13,Prdm9,protein_coding,13,salmon
ENSMUSG00000051989,6,Smim11,protein_coding,06,red
ENSMUSG00000051998,3,Lax1,protein_coding,03,brown
ENSMUSG00000052013,3,Btla,protein_coding,03,brown
ENSMUSG00000052085,1,Dock8,protein_coding,01,turquoise
ENSMUSG00000052102,4,Gnpda1,protein_coding,04,yellow
ENSMUSG00000052117,10,D630039A03Rik,protein_coding,10,purple
ENSMUSG00000052142,3,Rasal3,protein_coding,03,brown
ENSMUSG00000052155,9,Acvr2a,protein_coding,09,magenta
ENSMUSG00000052160,8,Pld4,protein_coding,08,pink
ENSMUSG00000052296,1,Ppp6r1,protein_coding,01,turquoise
ENSMUSG00000052305,3,Hbb-bs,protein_coding,03,brown
ENSMUSG00000052331,1,Ankrd44,protein_coding,01,turquoise
ENSMUSG00000052336,9,Cx3cr1,protein_coding,09,magenta
ENSMUSG00000052364,16,B630019K06Rik,protein_coding,16,lightcyan
ENSMUSG00000052374,13,Actn2,protein_coding,13,salmon
ENSMUSG00000052415,17,Tchh,protein_coding,17,grey60
ENSMUSG00000052419,5,2610001J05Rik,protein_coding,05,green
ENSMUSG00000052446,8,Zfp961,protein_coding,08,pink
ENSMUSG00000052456,2,Asna1,protein_coding,02,blue
ENSMUSG00000052477,10,C130026I21Rik,protein_coding,10,purple
ENSMUSG00000052488,1,Cherp,protein_coding,01,turquoise
ENSMUSG00000052504,1,Epha3,protein_coding,01,turquoise
ENSMUSG00000052533,1,Nup188,protein_coding,01,turquoise
ENSMUSG00000052560,6,Cpne8,protein_coding,06,red
ENSMUSG00000052563,0,D930048N14Rik,protein_coding,00,grey
ENSMUSG00000052565,13,H1f3,protein_coding,13,salmon
ENSMUSG00000052609,1,Plekhg3,protein_coding,01,turquoise
ENSMUSG00000052616,0,Terb1,protein_coding,00,grey
ENSMUSG00000052688,18,Rab7b,protein_coding,18,lightgreen
ENSMUSG00000052712,2,BC004004,protein_coding,02,blue
ENSMUSG00000052738,2,Suclg1,protein_coding,02,blue
ENSMUSG00000052749,3,Trim30b,protein_coding,03,brown
ENSMUSG00000052776,14,Oas1a,protein_coding,14,cyan
ENSMUSG00000052821,8,Cysltr1,protein_coding,08,pink
ENSMUSG00000052833,12,Sae1,protein_coding,12,tan
ENSMUSG00000052861,10,Dnah6,protein_coding,10,purple
ENSMUSG00000052889,9,Prkcb,protein_coding,09,magenta
ENSMUSG00000052906,2,Ubxn8,protein_coding,02,blue
ENSMUSG00000052921,24,Arhgef15,protein_coding,24,darkgrey
ENSMUSG00000052942,13,Glis3,protein_coding,13,salmon
ENSMUSG00000052962,2,Mrpl35,protein_coding,02,blue
ENSMUSG00000052997,8,Uba2,protein_coding,08,pink
ENSMUSG00000053012,12,Krcc1,protein_coding,12,tan
ENSMUSG00000053030,5,Spink2,protein_coding,05,green
ENSMUSG00000053040,2,Aph1c,protein_coding,02,blue
ENSMUSG00000053044,3,Cd8b1,protein_coding,03,brown
ENSMUSG00000053063,2,Clec12a,protein_coding,02,blue
ENSMUSG00000053091,12,Lins1,protein_coding,12,tan
ENSMUSG00000053113,9,Socs3,protein_coding,09,magenta
ENSMUSG00000053119,4,Chmp3,protein_coding,04,yellow
ENSMUSG00000053137,3,Mapk11,protein_coding,03,brown
ENSMUSG00000053279,7,Aldh1a1,protein_coding,07,black
