Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP,4,4/590,20/17483,0.06747678614949713,21825/12028/69719/18263,Thbs1/Bax/Cad/Odc1,ENSMUSG00000040152/ENSMUSG00000003873/ENSMUSG00000013629/ENSMUSG00000011179,C2,CGP
FERRANDO_TAL1_NEIGHBORS,4,4/590,20/17483,0.06747678614949713,12978/227288/12481/246256,Csf1r/Cxcr1/Cd2/Fcgr4,ENSMUSG00000024621/ENSMUSG00000048480/ENSMUSG00000027863/ENSMUSG00000059089,C2,CGP
SESTO_RESPONSE_TO_UV_C4,4,4/590,20/17483,0.06747678614949713,12527/26936/12568/19359,Cd9/Mprip/Cdk5/Rad23b,ENSMUSG00000030342/ENSMUSG00000005417/ENSMUSG00000028969/ENSMUSG00000028426,C2,CGP
ZHAN_LATE_DIFFERENTIATION_GENES_UP,5,5/590,32/17483,0.06747678614949713,14199/16000/56434/12334/16449,Fhl1/Igf1/Tspan3/Capn2/Jag1,ENSMUSG00000023092/ENSMUSG00000020053/ENSMUSG00000032324/ENSMUSG00000026509/ENSMUSG00000027276,C2,CGP
SCHLOSSER_SERUM_RESPONSE_UP,11,11/590,128/17483,0.06747678614949713,216859/19364/192176/26409/218490/71833/20848/193796/54721/20740/15194,Acap1/Rad51d/Flna/Map3k7/Btf3/Dcaf7/Stat3/Kdm4b/Tyk2/Sptan1/Htt,ENSMUSG00000001588/ENSMUSG00000018841/ENSMUSG00000031328/ENSMUSG00000028284/ENSMUSG00000021660/ENSMUSG00000049354/ENSMUSG00000004040/ENSMUSG00000024201/ENSMUSG00000032175/ENSMUSG00000057738/ENSMUSG00000029104,C2,CGP
WANG_SMARCE1_TARGETS_UP,19,19/590,286/17483,0.06747678614949713,380712/12654/21810/11303/54725/16177/100434/16419/13819/21887/12484/14268/17158/244668/98970/69718/19221/67784/16449,Tlcd2/Chil1/Tgfbi/Abca1/Cadm1/Il1r1/Slc44a1/Itgb5/Epas1/Tle3/Cd24a/Fn1/Man2a1/Sipa1l2/Fibcd1/Ipmk/Ptgfrn/Plxnd1/Jag1,ENSMUSG00000038217/ENSMUSG00000064246/ENSMUSG00000035493/ENSMUSG00000015243/ENSMUSG00000032076/ENSMUSG00000026072/ENSMUSG00000028412/ENSMUSG00000022817/ENSMUSG00000024140/ENSMUSG00000032280/ENSMUSG00000047139/ENSMUSG00000026193/ENSMUSG00000024085/ENSMUSG00000001995/ENSMUSG00000026841/ENSMUSG00000060733/ENSMUSG00000027864/ENSMUSG00000030123/ENSMUSG00000027276,C2,CGP
MATTIOLI_MGUS_VS_PCL,12,12/590,147/17483,0.06890360682935188,100038909/18733/100041146/114128/13819/18726/23943/20104/12010/66411/54563/69719,Gm14548/Pirb/Gm15448/Laptm4b/Epas1/Lilra6/Esyt1/Rps6/B2m/Tbcb/Nup210/Cad,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000022257/ENSMUSG00000024140/ENSMUSG00000030427/ENSMUSG00000025366/ENSMUSG00000028495/ENSMUSG00000060802/ENSMUSG00000006095/ENSMUSG00000030091/ENSMUSG00000013629,C2,CGP
HUANG_FOXA2_TARGETS_UP,6,6/590,46/17483,0.06928649718451012,27053/14268/21871/21888/16449/320405,Asns/Fn1/Atp6v0a2/Tle4/Jag1/Cadps2,ENSMUSG00000029752/ENSMUSG00000026193/ENSMUSG00000038023/ENSMUSG00000024642/ENSMUSG00000027276/ENSMUSG00000017978,C2,CGP
PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP,7,7/590,61/17483,0.06928649718451012,27053/12010/12847/66411/19172/19177/19170,Asns/B2m/Copa/Tbcb/Psmb4/Psmb7/Psmb1,ENSMUSG00000029752/ENSMUSG00000060802/ENSMUSG00000026553/ENSMUSG00000006095/ENSMUSG00000005779/ENSMUSG00000026750/ENSMUSG00000014769,C2,CGP
RADAEVA_RESPONSE_TO_IFNA1_UP,7,7/590,61/17483,0.06928649718451012,15018/16162/20846/69550/15040/56417/12028,H2-Q7/Il12rb2/Stat1/Bst2/H2-T23/Adar/Bax,ENSMUSG00000060550/ENSMUSG00000018341/ENSMUSG00000026104/ENSMUSG00000046718/ENSMUSG00000067212/ENSMUSG00000027951/ENSMUSG00000003873,C2,CGP
HOOI_ST7_TARGETS_DN,10,10/590,111/17483,0.06928649718451012,171166/66102/27226/52463/30794/12925/14268/77044/320405/68507,Mcoln3/Cxcl16/Pla2g7/Tet1/Pdlim4/Crip1/Fn1/Arid2/Cadps2/Ppfia4,ENSMUSG00000036853/ENSMUSG00000018920/ENSMUSG00000023913/ENSMUSG00000047146/ENSMUSG00000020388/ENSMUSG00000006360/ENSMUSG00000026193/ENSMUSG00000033237/ENSMUSG00000017978/ENSMUSG00000026458,C2,CGP
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,22,22/590,353/17483,0.07012345261518815,66082/236539/54725/54427/17748/13367/228136/75617/66401/216001/67333/100855/19172/225845/74840/68606/19921/98402/19177/78304/20740/69833,Abhd6/Phgdh/Cadm1/Dnmt3l/Mt1/Diaph1/Zdhhc5/Rps25/Nudt2/Micu1/Stk35/Tbc1d14/Psmb4/Plaat3/Manf/Ppm1f/Rpl19/Sh3bp4/Psmb7/Naa38/Sptan1/Polr2f,ENSMUSG00000025277/ENSMUSG00000053398/ENSMUSG00000032076/ENSMUSG00000000730/ENSMUSG00000031765/ENSMUSG00000024456/ENSMUSG00000034075/ENSMUSG00000009927/ENSMUSG00000028443/ENSMUSG00000020111/ENSMUSG00000037885/ENSMUSG00000029192/ENSMUSG00000005779/ENSMUSG00000060675/ENSMUSG00000032575/ENSMUSG00000026181/ENSMUSG00000017404/ENSMUSG00000036206/ENSMUSG00000026750/ENSMUSG00000059278/ENSMUSG00000057738/ENSMUSG00000033020,C2,CGP
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE,10,10/590,112/17483,0.07267233221441209,17750/236539/14744/27053/17748/21825/228775/23886/57266/16449,Mt2/Phgdh/Gpr65/Asns/Mt1/Thbs1/Trib3/Gdf15/Cxcl14/Jag1,ENSMUSG00000031762/ENSMUSG00000053398/ENSMUSG00000021886/ENSMUSG00000029752/ENSMUSG00000031765/ENSMUSG00000040152/ENSMUSG00000032715/ENSMUSG00000038508/ENSMUSG00000021508/ENSMUSG00000027276,C2,CGP
TENEDINI_MEGAKARYOCYTE_MARKERS,7,7/590,62/17483,0.07344188976563594,20304/16177/20846/12527/20848/14013/16452,Ccl5/Il1r1/Stat1/Cd9/Stat3/Mecom/Jak2,ENSMUSG00000035042/ENSMUSG00000026072/ENSMUSG00000026104/ENSMUSG00000030342/ENSMUSG00000004040/ENSMUSG00000027684/ENSMUSG00000024789,C2,CGP
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE,8,8/590,78/17483,0.07344188976563594,100038909/75345/18733/100041146/18726/20970/246177/338366,Gm14548/Slamf7/Pirb/Gm15448/Lilra6/Sdc3/Myo1g/Mia3,ENSMUSG00000074417/ENSMUSG00000038179/ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000030427/ENSMUSG00000025743/ENSMUSG00000020437/ENSMUSG00000056050,C2,CGP
MARTENS_BOUND_BY_PML_RARA_FUSION,26,26/590,444/17483,0.07344188976563594,12273/11501/66610/227327/69710/66222/14457/14255/277360/20104/19271/20005/17886/64292/77044/76846/67784/66521/12568/241633/17196/54721/54519/19303/54563/17966,C5ar1/Adam8/Abi3/B3gnt7/Arap1/Serpinb1a/Gas7/Flt3/Prex1/Rps6/Ptprj/Rpl9/Myh9/Ptges/Arid2/Rps9/Plxnd1/Rwdd1/Cdk5/Atp8b4/Mbp/Tyk2/Apbb1ip/Pxn/Nup210/Nbr1,ENSMUSG00000049130/ENSMUSG00000025473/ENSMUSG00000018381/ENSMUSG00000079445/ENSMUSG00000032812/ENSMUSG00000044734/ENSMUSG00000033066/ENSMUSG00000042817/ENSMUSG00000039621/ENSMUSG00000028495/ENSMUSG00000025314/ENSMUSG00000047215/ENSMUSG00000022443/ENSMUSG00000050737/ENSMUSG00000033237/ENSMUSG00000006333/ENSMUSG00000030123/ENSMUSG00000019782/ENSMUSG00000028969/ENSMUSG00000060131/ENSMUSG00000041607/ENSMUSG00000032175/ENSMUSG00000026786/ENSMUSG00000029528/ENSMUSG00000030091/ENSMUSG00000017119,C2,CGP
LEE_NEURAL_CREST_STEM_CELL_DN,11,11/590,131/17483,0.074477539131324,110557/72333/19126/15018/67092/23886/102103/12527/17938/18126/15040,H2-Q6/Palld/Prom1/H2-Q7/Gatm/Gdf15/Mtus1/Cd9/Naca/Nos2/H2-T23,ENSMUSG00000073409/ENSMUSG00000058056/ENSMUSG00000029086/ENSMUSG00000060550/ENSMUSG00000027199/ENSMUSG00000038508/ENSMUSG00000045636/ENSMUSG00000030342/ENSMUSG00000061315/ENSMUSG00000020826/ENSMUSG00000067212,C2,CGP
RODWELL_AGING_KIDNEY_NO_BLOOD_UP,15,15/590,209/17483,0.07602940391356054,19126/12268/27053/14199/192187/20430/79362/11568/14268/75617/66411/57266/76933/80281/71918,Prom1/C4b/Asns/Fhl1/Stab1/Cyfip1/Bhlhe41/Aebp1/Fn1/Rps25/Tbcb/Cxcl14/Ifi27l2a/Cttnbp2nl/Zcchc24,ENSMUSG00000029086/ENSMUSG00000073418/ENSMUSG00000029752/ENSMUSG00000023092/ENSMUSG00000042286/ENSMUSG00000030447/ENSMUSG00000030256/ENSMUSG00000020473/ENSMUSG00000026193/ENSMUSG00000009927/ENSMUSG00000006095/ENSMUSG00000021508/ENSMUSG00000079017/ENSMUSG00000062127/ENSMUSG00000055538,C2,CGP
WHITESIDE_CISPLATIN_RESISTANCE_UP,3,3/590,11/17483,0.07690167971546814,23886/64292/19303,Gdf15/Ptges/Pxn,ENSMUSG00000038508/ENSMUSG00000050737/ENSMUSG00000029528,C2,CGP
ISSAEVA_MLL2_TARGETS,7,7/590,63/17483,0.07690167971546814,121021/12273/54725/11658/14199/12527/12925,Cspg4/C5ar1/Cadm1/Alcam/Fhl1/Cd9/Crip1,ENSMUSG00000032911/ENSMUSG00000049130/ENSMUSG00000032076/ENSMUSG00000022636/ENSMUSG00000023092/ENSMUSG00000030342/ENSMUSG00000006360,C2,CGP
MCBRYAN_PUBERTAL_BREAST_6_7WK_DN,8,8/590,79/17483,0.07690167971546814,72333/17750/20568/80885/27226/30794/20969/17196,Palld/Mt2/Slpi/Hcar2/Pla2g7/Pdlim4/Sdc1/Mbp,ENSMUSG00000058056/ENSMUSG00000031762/ENSMUSG00000017002/ENSMUSG00000045502/ENSMUSG00000023913/ENSMUSG00000020388/ENSMUSG00000020592/ENSMUSG00000041607,C2,CGP
CAIRO_HEPATOBLASTOMA_CLASSES_DN,15,15/590,210/17483,0.07690167971546814,66082/13421/381217/16177/67092/16000/11305/140570/12010/216001/12334/16548/20623/71918/241226,Abhd6/Dnase1l3/Fam189a2/Il1r1/Gatm/Igf1/Abca2/Plxnb2/B2m/Micu1/Capn2/Khk/Snrk/Zcchc24/Itga8,ENSMUSG00000025277/ENSMUSG00000025279/ENSMUSG00000071604/ENSMUSG00000026072/ENSMUSG00000027199/ENSMUSG00000020053/ENSMUSG00000026944/ENSMUSG00000036606/ENSMUSG00000060802/ENSMUSG00000020111/ENSMUSG00000026509/ENSMUSG00000029162/ENSMUSG00000038145/ENSMUSG00000055538/ENSMUSG00000026768,C2,CGP
PEREZ_TP63_TARGETS,21,21/590,336/17483,0.07690167971546814,66082/20354/195046/13823/12709/17132/216859/214968/19883/71069/14276/244668/19271/50770/223650/270066/239985/57266/208795/16449/71918,Abhd6/Sema4d/Nlrp1a/Epb41l3/Ckb/Maf/Acap1/Sema6d/Rora/Stox2/Folr2/Sipa1l2/Ptprj/Atp11a/Eppk1/Slc35e1/Arid1b/Cxcl14/Tmem63a/Jag1/Zcchc24,ENSMUSG00000025277/ENSMUSG00000021451/ENSMUSG00000069830/ENSMUSG00000024044/ENSMUSG00000001270/ENSMUSG00000055435/ENSMUSG00000001588/ENSMUSG00000027200/ENSMUSG00000032238/ENSMUSG00000038143/ENSMUSG00000032725/ENSMUSG00000001995/ENSMUSG00000025314/ENSMUSG00000031441/ENSMUSG00000115388/ENSMUSG00000019731/ENSMUSG00000069729/ENSMUSG00000021508/ENSMUSG00000026519/ENSMUSG00000027276/ENSMUSG00000055538,C2,CGP
HAN_JNK_SINGALING_UP,5,5/590,34/17483,0.07774877521827166,102657/21810/20304/17158/76933,Cd276/Tgfbi/Ccl5/Man2a1/Ifi27l2a,ENSMUSG00000035914/ENSMUSG00000035493/ENSMUSG00000035042/ENSMUSG00000024085/ENSMUSG00000079017,C2,CGP
BOYLAN_MULTIPLE_MYELOMA_C_UP,6,6/590,48/17483,0.07774877521827166,210992/68732/17215/68606/19212/69719,Lpcat1/Carmil1/Mcm3/Ppm1f/Pter/Cad,ENSMUSG00000021608/ENSMUSG00000021338/ENSMUSG00000041859/ENSMUSG00000026181/ENSMUSG00000026730/ENSMUSG00000013629,C2,CGP
WEST_ADRENOCORTICAL_TUMOR_UP,19,19/590,294/17483,0.07785780242914908,16570/16004/20910/22151/57295/229473/53890/268373/193796/17250/66177/19177/16449/50783/67681/22166/16561/69719/19359,Kif3c/Igf2r/Stxbp1/Tubb2a/Icmt/Tmem131l/Sart3/Ppia/Kdm4b/Abcc1/Ubl5/Psmb7/Jag1/Lsm4/Mrpl18/Txn1/Kif1b/Cad/Rad23b,ENSMUSG00000020668/ENSMUSG00000023830/ENSMUSG00000026797/ENSMUSG00000058672/ENSMUSG00000039662/ENSMUSG00000033767/ENSMUSG00000018974/ENSMUSG00000071866/ENSMUSG00000024201/ENSMUSG00000023088/ENSMUSG00000084786/ENSMUSG00000026750/ENSMUSG00000027276/ENSMUSG00000031848/ENSMUSG00000057388/ENSMUSG00000028367/ENSMUSG00000063077/ENSMUSG00000013629/ENSMUSG00000028426,C2,CGP
LENAOUR_DENDRITIC_CELL_MATURATION_DN,11,11/590,133/17483,0.0782736268817874,12978/12273/12654/18173/13038/192187/16790/70789/218454/11717/217207,Csf1r/C5ar1/Chil1/Slc11a1/Ctsk/Stab1/Anpep/Kynu/Lhfpl2/Ampd3/Dhx8,ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000064246/ENSMUSG00000026177/ENSMUSG00000028111/ENSMUSG00000042286/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000045312/ENSMUSG00000005686/ENSMUSG00000034931,C2,CGP
KIM_GLIS2_TARGETS_UP,8,8/590,80/17483,0.07898983983556644,18733/11501/21810/100041146/20304/17387/15000/57266,Pirb/Adam8/Tgfbi/Gm15448/Ccl5/Mmp14/H2-DMb2/Cxcl14,ENSMUSG00000058818/ENSMUSG00000025473/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000035042/ENSMUSG00000000957/ENSMUSG00000037548/ENSMUSG00000021508,C2,CGP
HUPER_BREAST_BASAL_VS_LUMINAL_DN,7,7/590,64/17483,0.0791149084919834,110557/19126/15018/11658/16790/225845/15040,H2-Q6/Prom1/H2-Q7/Alcam/Anpep/Plaat3/H2-T23,ENSMUSG00000073409/ENSMUSG00000029086/ENSMUSG00000060550/ENSMUSG00000022636/ENSMUSG00000039062/ENSMUSG00000060675/ENSMUSG00000067212,C2,CGP
INGRAM_SHH_TARGETS_DN,7,7/590,64/17483,0.0791149084919834,20568/21810/20308/329739/78783/20969/54721,Slpi/Tgfbi/Ccl9/Fam102b/Brpf1/Sdc1/Tyk2,ENSMUSG00000017002/ENSMUSG00000035493/ENSMUSG00000019122/ENSMUSG00000040339/ENSMUSG00000001632/ENSMUSG00000020592/ENSMUSG00000032175,C2,CGP
ONDER_CDH1_TARGETS_2_UP,17,17/590,253/17483,0.0791149084919834,229521/16847/195046/53614/98496/30805/239027/18186/217721/16790/243362/14268/20970/171212/225845/71918/67530,Syt11/Lepr/Nlrp1a/Reck/Pid1/Slc22a4/Arhgap22/Nrp1/Flvcr2/Anpep/Stard13/Fn1/Sdc3/Galnt10/Plaat3/Zcchc24/Uqcrb,ENSMUSG00000068923/ENSMUSG00000057722/ENSMUSG00000069830/ENSMUSG00000028476/ENSMUSG00000045658/ENSMUSG00000020334/ENSMUSG00000063506/ENSMUSG00000025810/ENSMUSG00000034258/ENSMUSG00000039062/ENSMUSG00000016128/ENSMUSG00000026193/ENSMUSG00000025743/ENSMUSG00000020520/ENSMUSG00000060675/ENSMUSG00000055538/ENSMUSG00000021520,C2,CGP
LU_EZH2_TARGETS_UP,18,18/590,274/17483,0.0791149084919834,210992/78323/236539/17179/214854/228775/19364/320183/66059/100041194/110253/104401/69550/19177/66431/78304/68479/71918,Lpcat1/Fam219b/Phgdh/Matk/Neurl3/Trib3/Rad51d/Msrb3/Krtcap2/Ahnak2/Triobp/Pcnx3/Bst2/Psmb7/Oxld1/Naa38/Phf5a/Zcchc24,ENSMUSG00000021608/ENSMUSG00000032305/ENSMUSG00000053398/ENSMUSG00000004933/ENSMUSG00000047180/ENSMUSG00000032715/ENSMUSG00000018841/ENSMUSG00000051236/ENSMUSG00000042747/ENSMUSG00000072812/ENSMUSG00000033088/ENSMUSG00000054874/ENSMUSG00000046718/ENSMUSG00000026750/ENSMUSG00000039670/ENSMUSG00000059278/ENSMUSG00000061360/ENSMUSG00000055538,C2,CGP
YAN_ESCAPE_FROM_ANOIKIS,4,4/590,22/17483,0.08046405672811081,20304/20846/16168/18126,Ccl5/Stat1/Il15/Nos2,ENSMUSG00000035042/ENSMUSG00000026104/ENSMUSG00000031712/ENSMUSG00000020826,C2,CGP
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP,6,6/590,49/17483,0.0811613275993636,12709/15331/16419/27053/11911/15519,Ckb/Hmgn2/Itgb5/Asns/Atf4/Hsp90aa1,ENSMUSG00000001270/ENSMUSG00000003038/ENSMUSG00000022817/ENSMUSG00000029752/ENSMUSG00000042406/ENSMUSG00000021270,C2,CGP
HILLION_HMGA1_TARGETS,8,8/590,81/17483,0.08162266446875435,12273/16004/17152/12010/20848/19921/13039/20068,C5ar1/Igf2r/Mak/B2m/Stat3/Rpl19/Ctsl/Rps17,ENSMUSG00000049130/ENSMUSG00000023830/ENSMUSG00000021363/ENSMUSG00000060802/ENSMUSG00000004040/ENSMUSG00000017404/ENSMUSG00000021477/ENSMUSG00000061787,C2,CGP
DORSAM_HOXA9_TARGETS_UP,5,5/590,35/17483,0.082562513541842,15331/14904/217207/16332/26451,Hmgn2/Gtpbp1/Dhx8/Inppl1/Rpl27a,ENSMUSG00000003038/ENSMUSG00000042535/ENSMUSG00000034931/ENSMUSG00000032737/ENSMUSG00000046364,C2,CGP
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP,26,26/590,453/17483,0.08325746726901179,24108/229521/17750/18751/22151/13819/11658/17748/14199/20846/11816/66889/12484/12527/192176/14268/212898/100041194/16168/20947/20848/21888/16449/13039/16548/18263,Ubd/Syt11/Mt2/Prkcb/Tubb2a/Epas1/Alcam/Mt1/Fhl1/Stat1/Apoe/Rnf128/Cd24a/Cd9/Flna/Fn1/Dse/Ahnak2/Il15/Swap70/Stat3/Tle4/Jag1/Ctsl/Khk/Odc1,ENSMUSG00000035186/ENSMUSG00000068923/ENSMUSG00000031762/ENSMUSG00000052889/ENSMUSG00000058672/ENSMUSG00000024140/ENSMUSG00000022636/ENSMUSG00000031765/ENSMUSG00000023092/ENSMUSG00000026104/ENSMUSG00000002985/ENSMUSG00000031438/ENSMUSG00000047139/ENSMUSG00000030342/ENSMUSG00000031328/ENSMUSG00000026193/ENSMUSG00000039497/ENSMUSG00000072812/ENSMUSG00000031712/ENSMUSG00000031015/ENSMUSG00000004040/ENSMUSG00000024642/ENSMUSG00000027276/ENSMUSG00000021477/ENSMUSG00000029162/ENSMUSG00000011179,C2,CGP
GROSS_HYPOXIA_VIA_ELK3_DN,12,12/590,155/17483,0.08601381624695414,20568/232801/12608/27053/16790/30794/74533/17886/11911/213499/16449/19359,Slpi/Lilra5/Cebpb/Asns/Anpep/Pdlim4/Gzf1/Myh9/Atf4/Fbxo42/Jag1/Rad23b,ENSMUSG00000017002/ENSMUSG00000070873/ENSMUSG00000056501/ENSMUSG00000029752/ENSMUSG00000039062/ENSMUSG00000020388/ENSMUSG00000027439/ENSMUSG00000022443/ENSMUSG00000042406/ENSMUSG00000028920/ENSMUSG00000027276/ENSMUSG00000028426,C2,CGP
AMIT_EGF_RESPONSE_20_MCF10A,3,3/590,12/17483,0.08693153103066488,17387/21825/19359,Mmp14/Thbs1/Rad23b,ENSMUSG00000000957/ENSMUSG00000040152/ENSMUSG00000028426,C2,CGP
ITO_PTTG1_TARGETS_UP,3,3/590,12/17483,0.08693153103066488,11658/21825/57266,Alcam/Thbs1/Cxcl14,ENSMUSG00000022636/ENSMUSG00000040152/ENSMUSG00000021508,C2,CGP
MARTINELLI_IMMATURE_NEUTROPHIL_DN,3,3/590,12/17483,0.08693153103066488,227288/80885/246256,Cxcr1/Hcar2/Fcgr4,ENSMUSG00000048480/ENSMUSG00000045502/ENSMUSG00000059089,C2,CGP
ZHANG_PROLIFERATING_VS_QUIESCENT,6,6/590,50/17483,0.08693153103066488,19240/56455/13135/15519/12028/19359,Tmsb10/Dynll1/Dad1/Hsp90aa1/Bax/Rad23b,ENSMUSG00000079523/ENSMUSG00000009013/ENSMUSG00000022174/ENSMUSG00000021270/ENSMUSG00000003873/ENSMUSG00000028426,C2,CGP
BURTON_ADIPOGENESIS_2,7,7/590,66/17483,0.08693153103066488,16177/16534/64292/20969/18813/18627/69719,Il1r1/Kcnn4/Ptges/Sdc1/Pa2g4/Per2/Cad,ENSMUSG00000026072/ENSMUSG00000054342/ENSMUSG00000050737/ENSMUSG00000020592/ENSMUSG00000025364/ENSMUSG00000055866/ENSMUSG00000013629,C2,CGP
DITTMER_PTHLH_TARGETS_DN,7,7/590,66/17483,0.08693153103066488,17750/17748/67865/26409/17886/19172/15519,Mt2/Mt1/Rgs10/Map3k7/Myh9/Psmb4/Hsp90aa1,ENSMUSG00000031762/ENSMUSG00000031765/ENSMUSG00000030844/ENSMUSG00000028284/ENSMUSG00000022443/ENSMUSG00000005779/ENSMUSG00000021270,C2,CGP
LIAN_LIPA_TARGETS_3M,7,7/590,66/17483,0.08693153103066488,232801/18173/27226/18636/17381/11810/23886,Lilra5/Slc11a1/Pla2g7/Cfp/Mmp12/Apobec1/Gdf15,ENSMUSG00000070873/ENSMUSG00000026177/ENSMUSG00000023913/ENSMUSG00000001128/ENSMUSG00000049723/ENSMUSG00000040613/ENSMUSG00000038508,C2,CGP
MCLACHLAN_DENTAL_CARIES_UP,18,18/590,279/17483,0.08693341961474482,12978/12273/12654/17750/20568/80885/11303/20304/27226/12268/17748/192187/15000/74748/11816/16790/70789/246256,Csf1r/C5ar1/Chil1/Mt2/Slpi/Hcar2/Abca1/Ccl5/Pla2g7/C4b/Mt1/Stab1/H2-DMb2/Slamf8/Apoe/Anpep/Kynu/Fcgr4,ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000064246/ENSMUSG00000031762/ENSMUSG00000017002/ENSMUSG00000045502/ENSMUSG00000015243/ENSMUSG00000035042/ENSMUSG00000023913/ENSMUSG00000073418/ENSMUSG00000031765/ENSMUSG00000042286/ENSMUSG00000037548/ENSMUSG00000053318/ENSMUSG00000002985/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000059089,C2,CGP
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP,14,14/590,196/17483,0.08693695501182429,11501/12774/19309/13823/66222/15018/97064/14199/11568/100041194/114601/17909/53311/210146,Adam8/Ccr5/Pygm/Epb41l3/Serpinb1a/H2-Q7/Wwtr1/Fhl1/Aebp1/Ahnak2/Ehbp1l1/Myo10/Mybph/Irgq,ENSMUSG00000025473/ENSMUSG00000079227/ENSMUSG00000032648/ENSMUSG00000024044/ENSMUSG00000044734/ENSMUSG00000060550/ENSMUSG00000027803/ENSMUSG00000023092/ENSMUSG00000020473/ENSMUSG00000072812/ENSMUSG00000024937/ENSMUSG00000022272/ENSMUSG00000042451/ENSMUSG00000041037,C2,CGP
DURCHDEWALD_SKIN_CARCINOGENESIS_DN,17,17/590,258/17483,0.08693695501182429,12654/20354/20568/21810/54725/268752/224273/214968/16534/234577/228136/67974/17886/17250/19766/16561/18263,Chil1/Sema4d/Slpi/Tgfbi/Cadm1/Wdfy2/Crybg3/Sema6d/Kcnn4/Cpne2/Zdhhc5/Ccny/Myh9/Abcc1/Ripk1/Kif1b/Odc1,ENSMUSG00000064246/ENSMUSG00000021451/ENSMUSG00000017002/ENSMUSG00000035493/ENSMUSG00000032076/ENSMUSG00000014547/ENSMUSG00000022723/ENSMUSG00000027200/ENSMUSG00000054342/ENSMUSG00000034361/ENSMUSG00000034075/ENSMUSG00000024286/ENSMUSG00000022443/ENSMUSG00000023088/ENSMUSG00000021408/ENSMUSG00000063077/ENSMUSG00000011179,C2,CGP
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN,9,9/590,101/17483,0.0902362439178064,102657/210992/232801/16177/69993/217664/12874/17886/19359,Cd276/Lpcat1/Lilra5/Il1r1/Chn2/Mgat2/Cpd/Myh9/Rad23b,ENSMUSG00000035914/ENSMUSG00000021608/ENSMUSG00000070873/ENSMUSG00000026072/ENSMUSG00000004633/ENSMUSG00000043998/ENSMUSG00000020841/ENSMUSG00000022443/ENSMUSG00000028426,C2,CGP
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,6,6/590,51/17483,0.09024343623283053,20104/26961/76846/66085/20044/20068,Rps6/Rpl8/Rps9/Eif3f/Rps14/Rps17,ENSMUSG00000028495/ENSMUSG00000003970/ENSMUSG00000006333/ENSMUSG00000031029/ENSMUSG00000024608/ENSMUSG00000061787,C2,CGP
ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_UP,7,7/590,67/17483,0.09073827232136511,11554/12608/236539/66871/27053/228775/76933,Adrb1/Cebpb/Phgdh/Cpne8/Asns/Trib3/Ifi27l2a,ENSMUSG00000035283/ENSMUSG00000056501/ENSMUSG00000053398/ENSMUSG00000052560/ENSMUSG00000029752/ENSMUSG00000032715/ENSMUSG00000079017,C2,CGP
LIU_PROSTATE_CANCER_DN,27,27/590,482/17483,0.09073827232136511,76267/72333/16832/195046/13823/114128/214968/67092/13819/14199/320183/71069/110310/54132/30794/11568/192176/104099/212898/100041194/171212/223753/329251/20969/14013/15040/241226,Fads1/Palld/Ldhb/Nlrp1a/Epb41l3/Laptm4b/Sema6d/Gatm/Epas1/Fhl1/Msrb3/Stox2/Krt7/Pdlim1/Pdlim4/Aebp1/Flna/Itga9/Dse/Ahnak2/Galnt10/Cerk/Ppp1r12b/Sdc1/Mecom/H2-T23/Itga8,ENSMUSG00000010663/ENSMUSG00000058056/ENSMUSG00000030246/ENSMUSG00000069830/ENSMUSG00000024044/ENSMUSG00000022257/ENSMUSG00000027200/ENSMUSG00000027199/ENSMUSG00000024140/ENSMUSG00000023092/ENSMUSG00000051236/ENSMUSG00000038143/ENSMUSG00000023039/ENSMUSG00000055044/ENSMUSG00000020388/ENSMUSG00000020473/ENSMUSG00000031328/ENSMUSG00000039115/ENSMUSG00000039497/ENSMUSG00000072812/ENSMUSG00000020520/ENSMUSG00000035891/ENSMUSG00000073557/ENSMUSG00000020592/ENSMUSG00000027684/ENSMUSG00000067212/ENSMUSG00000026768,C2,CGP
