Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
CAMPS_COLON_CANCER_COPY_NUMBER_DN,5,5/590,80/17483,0.4166750172604566,110557/72899/15018/54384/15040,H2-Q6/Macrod2/H2-Q7/Mtmr7/H2-T23,ENSMUSG00000073409/ENSMUSG00000068205/ENSMUSG00000060550/ENSMUSG00000039431/ENSMUSG00000067212,C2,CGP
FONTAINE_PAPILLARY_THYROID_CARCINOMA_DN,5,5/590,80/17483,0.4166750172604566,18733/100041146/17748/66049/64292,Pirb/Gm15448/Mt1/Rogdi/Ptges,ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000031765/ENSMUSG00000022540/ENSMUSG00000050737,C2,CGP
HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS,5,5/590,80/17483,0.4166750172604566,16004/54725/15018/11816/15040,Igf2r/Cadm1/H2-Q7/Apoe/H2-T23,ENSMUSG00000023830/ENSMUSG00000032076/ENSMUSG00000060550/ENSMUSG00000002985/ENSMUSG00000067212,C2,CGP
LIU_NASOPHARYNGEAL_CARCINOMA,5,5/590,80/17483,0.4166750172604566,11501/13421/15018/218490/227648,Adam8/Dnase1l3/H2-Q7/Btf3/Sec16a,ENSMUSG00000025473/ENSMUSG00000025279/ENSMUSG00000060550/ENSMUSG00000021660/ENSMUSG00000026924,C2,CGP
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,5,5/590,80/17483,0.4166750172604566,110557/15018/20846/18627/15040,H2-Q6/H2-Q7/Stat1/Per2/H2-T23,ENSMUSG00000073409/ENSMUSG00000060550/ENSMUSG00000026104/ENSMUSG00000055866/ENSMUSG00000067212,C2,CGP
KANG_IMMORTALIZED_BY_TERT_DN,6,6/590,102/17483,0.4166750172604566,12709/11492/18186/71729/76969/19359,Ckb/Adam19/Nrp1/Rgs12/Chst1/Rad23b,ENSMUSG00000001270/ENSMUSG00000011256/ENSMUSG00000025810/ENSMUSG00000029101/ENSMUSG00000027221/ENSMUSG00000028426,C2,CGP
HUANG_GATA2_TARGETS_UP,8,8/590,149/17483,0.4166750172604566,214854/16534/20308/11565/20104/12010/223753/66177,Neurl3/Kcnn4/Ccl9/Adssl1/Rps6/B2m/Cerk/Ubl5,ENSMUSG00000047180/ENSMUSG00000054342/ENSMUSG00000019122/ENSMUSG00000011148/ENSMUSG00000028495/ENSMUSG00000060802/ENSMUSG00000035891/ENSMUSG00000084786,C2,CGP
LANDIS_ERBB2_BREAST_TUMORS_324_DN,8,8/590,149/17483,0.4166750172604566,76267/21810/18636/18186/12925/69721/64292/20623,Fads1/Tgfbi/Cfp/Nrp1/Crip1/Nkiras1/Ptges/Snrk,ENSMUSG00000010663/ENSMUSG00000035493/ENSMUSG00000001128/ENSMUSG00000025810/ENSMUSG00000006360/ENSMUSG00000021772/ENSMUSG00000050737/ENSMUSG00000038145,C2,CGP
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2,9,9/590,173/17483,0.4166750172604566,11501/64095/16534/17381/11810/79362/78906/14013/13039,Adam8/Gpr35/Kcnn4/Mmp12/Apobec1/Bhlhe41/Misp/Mecom/Ctsl,ENSMUSG00000025473/ENSMUSG00000026271/ENSMUSG00000054342/ENSMUSG00000049723/ENSMUSG00000040613/ENSMUSG00000030256/ENSMUSG00000035852/ENSMUSG00000027684/ENSMUSG00000021477,C2,CGP
OKUMURA_INFLAMMATORY_RESPONSE_LPS,9,9/590,173/17483,0.4166750172604566,319939/20304/11658/21825/76969/17979/212898/28126/16452,Tns3/Ccl5/Alcam/Thbs1/Chst1/Ncoa3/Dse/Nop16/Jak2,ENSMUSG00000020422/ENSMUSG00000035042/ENSMUSG00000022636/ENSMUSG00000040152/ENSMUSG00000027221/ENSMUSG00000027678/ENSMUSG00000039497/ENSMUSG00000025869/ENSMUSG00000024789,C2,CGP
