Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP,12,12/590,207/17849,0.15284882536346525,69710/15018/67865/21887/11816/277360/17222/15040/13039/225049/17069/12028,Arap1/H2-Q7/Rgs10/Tle3/Apoe/Prex1/Anapc1/H2-T23/Ctsl/Ttc7/Ly6e/Bax,ENSMUSG00000032812/ENSMUSG00000060550/ENSMUSG00000030844/ENSMUSG00000032280/ENSMUSG00000002985/ENSMUSG00000039621/ENSMUSG00000014355/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000036918/ENSMUSG00000022587/ENSMUSG00000003873,C7
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_3H_UP,12,12/590,207/17849,0.15284882536346525,114128/545378/66222/16177/15018/19262/56434/30794/12925/20970/18782/66411,Laptm4b/Sh2d1b2/Serpinb1a/Il1r1/H2-Q7/Ptpra/Tspan3/Pdlim4/Crip1/Sdc3/Pla2g2d/Tbcb,ENSMUSG00000022257/ENSMUSG00000073494/ENSMUSG00000044734/ENSMUSG00000026072/ENSMUSG00000060550/ENSMUSG00000027303/ENSMUSG00000032324/ENSMUSG00000020388/ENSMUSG00000006360/ENSMUSG00000025743/ENSMUSG00000041202/ENSMUSG00000006095,C7
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_UP,12,12/590,207/17849,0.15284882536346525,17750/21810/18173/12709/16177/17748/67053/12010/218490/16168/16190/16452,Mt2/Tgfbi/Slc11a1/Ckb/Il1r1/Mt1/Rpp14/B2m/Btf3/Il15/Il4ra/Jak2,ENSMUSG00000031762/ENSMUSG00000035493/ENSMUSG00000026177/ENSMUSG00000001270/ENSMUSG00000026072/ENSMUSG00000031765/ENSMUSG00000023156/ENSMUSG00000060802/ENSMUSG00000021660/ENSMUSG00000031712/ENSMUSG00000030748/ENSMUSG00000024789,C7
GSE5589_UNSTIM_VS_45MIN_LPS_STIM_MACROPHAGE_UP,12,12/590,207/17849,0.15284882536346525,110557/16177/27226/15018/12010/19267/19221/57266/76551/15040/16785/434341,H2-Q6/Il1r1/Pla2g7/H2-Q7/B2m/Ptpre/Ptgfrn/Cxcl14/Ccdc6/H2-T23/Rpsa/Nlrc5,ENSMUSG00000073409/ENSMUSG00000026072/ENSMUSG00000023913/ENSMUSG00000060550/ENSMUSG00000060802/ENSMUSG00000041836/ENSMUSG00000027864/ENSMUSG00000021508/ENSMUSG00000048701/ENSMUSG00000067212/ENSMUSG00000032518/ENSMUSG00000074151,C7
GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP,11,11/590,185/17849,0.15646492847323998,60504/16832/15001/268297/52463/11789/331524/30957/19921/434341/16561,Il21r/Ldhb/H2-Oa/Scml4/Tet1/Apc/Xkrx/Mapk8ip3/Rpl19/Nlrc5/Kif1b,ENSMUSG00000030745/ENSMUSG00000030246/ENSMUSG00000024334/ENSMUSG00000044770/ENSMUSG00000047146/ENSMUSG00000005871/ENSMUSG00000031258/ENSMUSG00000024163/ENSMUSG00000017404/ENSMUSG00000074151/ENSMUSG00000063077,C7
GSE3982_MAC_VS_BCELL_DN,11,11/590,185/17849,0.15646492847323998,71720/195046/215632/80280/69106/13548/18975/19921/56030/67248/16785,Osbpl3/Nlrp1a/Psd4/Cdk5rap3/Stoml1/Dyrk1a/Polg/Rpl19/Tmem131/Rpl39/Rpsa,ENSMUSG00000029822/ENSMUSG00000069830/ENSMUSG00000026979/ENSMUSG00000018669/ENSMUSG00000032333/ENSMUSG00000022897/ENSMUSG00000039176/ENSMUSG00000017404/ENSMUSG00000026116/ENSMUSG00000079641/ENSMUSG00000032518,C7
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN,12,12/590,208/17849,0.15722761356541798,110557/11554/20304/66222/15018/19883/66889/19271/16168/208795/15040/71918,H2-Q6/Adrb1/Ccl5/Serpinb1a/H2-Q7/Rora/Rnf128/Ptprj/Il15/Tmem63a/H2-T23/Zcchc24,ENSMUSG00000073409/ENSMUSG00000035283/ENSMUSG00000035042/ENSMUSG00000044734/ENSMUSG00000060550/ENSMUSG00000032238/ENSMUSG00000031438/ENSMUSG00000025314/ENSMUSG00000031712/ENSMUSG00000026519/ENSMUSG00000067212/ENSMUSG00000055538,C7
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_ZFX_KO_BCELL_DN,11,11/590,186/17849,0.16074501168293748,21778/17750/56524/15331/71085/404710/12925/75617/18813/241633/67681,Tex9/Mt2/Mpp6/Hmgn2/Arhgap19/Iqgap3/Crip1/Rps25/Pa2g4/Atp8b4/Mrpl18,ENSMUSG00000090626/ENSMUSG00000031762/ENSMUSG00000038388/ENSMUSG00000003038/ENSMUSG00000025154/ENSMUSG00000028068/ENSMUSG00000006360/ENSMUSG00000009927/ENSMUSG00000025364/ENSMUSG00000060131/ENSMUSG00000057388,C7
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_DN,11,11/590,186/17849,0.16074501168293748,320158/216859/66871/80280/237782/78783/27403/241633/213499/56386/16785,Zmat4/Acap1/Cpne8/Cdk5rap3/Smcr8/Brpf1/Abca7/Atp8b4/Fbxo42/B4galt6/Rpsa,ENSMUSG00000037492/ENSMUSG00000001588/ENSMUSG00000052560/ENSMUSG00000018669/ENSMUSG00000049323/ENSMUSG00000001632/ENSMUSG00000035722/ENSMUSG00000060131/ENSMUSG00000028920/ENSMUSG00000056124/ENSMUSG00000032518,C7
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP,11,11/590,186/17849,0.16074501168293748,235431/217119/104718/11565/21894/320528/17776/78294/329251/17909/233863,Coro2b/Xylt2/Ttc7b/Adssl1/Tln1/Vps13c/Mast2/Rps27a/Ppp1r12b/Myo10/Gtf3c1,ENSMUSG00000041729/ENSMUSG00000020868/ENSMUSG00000033530/ENSMUSG00000011148/ENSMUSG00000028465/ENSMUSG00000035284/ENSMUSG00000003810/ENSMUSG00000020460/ENSMUSG00000073557/ENSMUSG00000022272/ENSMUSG00000032777,C7
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP,11,11/590,186/17849,0.16074501168293748,12978/19200/72141/101706/19364/108903/64652/50783/16548/68479/20623,Csf1r/Pstpip1/Adpgk/Numa1/Rad51d/Tbcd/Nisch/Lsm4/Khk/Phf5a/Snrk,ENSMUSG00000024621/ENSMUSG00000032322/ENSMUSG00000025236/ENSMUSG00000066306/ENSMUSG00000018841/ENSMUSG00000039230/ENSMUSG00000021910/ENSMUSG00000031848/ENSMUSG00000029162/ENSMUSG00000061360/ENSMUSG00000038145,C7
GSE11924_TFH_VS_TH2_CD4_TCELL_UP,12,12/590,209/17849,0.16074501168293748,110557/69710/15018/74370/78783/17886/64652/63955/26390/15040/17966/12028,H2-Q6/Arap1/H2-Q7/Rptor/Brpf1/Myh9/Nisch/Cables1/Mapkbp1/H2-T23/Nbr1/Bax,ENSMUSG00000073409/ENSMUSG00000032812/ENSMUSG00000060550/ENSMUSG00000025583/ENSMUSG00000001632/ENSMUSG00000022443/ENSMUSG00000021910/ENSMUSG00000040957/ENSMUSG00000033902/ENSMUSG00000067212/ENSMUSG00000017119/ENSMUSG00000003873,C7
GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_DN,12,12/590,209/17849,0.16074501168293748,170835/17750/12774/20304/227699/11658/21825/16790/18797/75617/18975/26451,Inpp5j/Mt2/Ccr5/Ccl5/Nup188/Alcam/Thbs1/Anpep/Plcb3/Rps25/Polg/Rpl27a,ENSMUSG00000034570/ENSMUSG00000031762/ENSMUSG00000079227/ENSMUSG00000035042/ENSMUSG00000052533/ENSMUSG00000022636/ENSMUSG00000040152/ENSMUSG00000039062/ENSMUSG00000024960/ENSMUSG00000009927/ENSMUSG00000039176/ENSMUSG00000046364,C7
GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_C57BL6_DN,12,12/590,209/17849,0.16074501168293748,110557/15018/100434/16790/26407/74315/21371/12334/320632/17250/15040/226123,H2-Q6/H2-Q7/Slc44a1/Anpep/Map3k4/Rnf145/Tbca/Capn2/Snrnp200/Abcc1/H2-T23/Morn4,ENSMUSG00000073409/ENSMUSG00000060550/ENSMUSG00000028412/ENSMUSG00000039062/ENSMUSG00000014426/ENSMUSG00000019189/ENSMUSG00000042043/ENSMUSG00000026509/ENSMUSG00000003660/ENSMUSG00000023088/ENSMUSG00000067212/ENSMUSG00000049670,C7
GSE3039_NKT_CELL_VS_B2_BCELL_DN,12,12/590,209/17849,0.16074501168293748,110557/11501/80885/12608/11303/15018/228775/76969/100855/57266/15040/434341,H2-Q6/Adam8/Hcar2/Cebpb/Abca1/H2-Q7/Trib3/Chst1/Tbc1d14/Cxcl14/H2-T23/Nlrc5,ENSMUSG00000073409/ENSMUSG00000025473/ENSMUSG00000045502/ENSMUSG00000056501/ENSMUSG00000015243/ENSMUSG00000060550/ENSMUSG00000032715/ENSMUSG00000027221/ENSMUSG00000029192/ENSMUSG00000021508/ENSMUSG00000067212/ENSMUSG00000074151,C7
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP,12,12/590,209/17849,0.16074501168293748,78323/268297/98496/15018/14744/13819/77579/238377/24115/171212/21888/77853,Fam219b/Scml4/Pid1/H2-Q7/Gpr65/Epas1/Myh10/Gpr68/Best1/Galnt10/Tle4/Msl2,ENSMUSG00000032305/ENSMUSG00000044770/ENSMUSG00000045658/ENSMUSG00000060550/ENSMUSG00000021886/ENSMUSG00000024140/ENSMUSG00000020900/ENSMUSG00000047415/ENSMUSG00000037418/ENSMUSG00000020520/ENSMUSG00000024642/ENSMUSG00000066415,C7
GSE41867_DAY6_VS_DAY8_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,12,12/590,209/17849,0.16074501168293748,110557/11501/18173/17132/15018/71729/66049/18518/26390/15040/434341/69186,H2-Q6/Adam8/Slc11a1/Maf/H2-Q7/Rgs12/Rogdi/Igbp1/Mapkbp1/H2-T23/Nlrc5/Tmem256,ENSMUSG00000073409/ENSMUSG00000025473/ENSMUSG00000026177/ENSMUSG00000055435/ENSMUSG00000060550/ENSMUSG00000029101/ENSMUSG00000022540/ENSMUSG00000031221/ENSMUSG00000033902/ENSMUSG00000067212/ENSMUSG00000074151/ENSMUSG00000070394,C7
GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,12,12/590,209/17849,0.16074501168293748,110557/114128/30805/66222/15018/68910/110310/30794/17222/13367/15040/72113,H2-Q6/Laptm4b/Slc22a4/Serpinb1a/H2-Q7/Zfp467/Krt7/Pdlim4/Anapc1/Diaph1/H2-T23/Adck1,ENSMUSG00000073409/ENSMUSG00000022257/ENSMUSG00000020334/ENSMUSG00000044734/ENSMUSG00000060550/ENSMUSG00000068551/ENSMUSG00000023039/ENSMUSG00000020388/ENSMUSG00000014355/ENSMUSG00000024456/ENSMUSG00000067212/ENSMUSG00000021044,C7
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP,10,10/590,164/17849,0.16280104507819318,12654/319742/17152/64381/13819/27361/218490/100855/23807/17909,Chil1/Mpzl3/Mak/Ms4a8a/Epas1/Msrb1/Btf3/Tbc1d14/Arih2/Myo10,ENSMUSG00000064246/ENSMUSG00000070305/ENSMUSG00000021363/ENSMUSG00000024730/ENSMUSG00000024140/ENSMUSG00000075705/ENSMUSG00000021660/ENSMUSG00000029192/ENSMUSG00000064145/ENSMUSG00000022272,C7
GSE13887_RESTING_VS_ACT_CD4_TCELL_DN,10,10/590,164/17849,0.16280104507819318,18733/21778/226791/100041146/66971/171166/66871/217721/237782/76933,Pirb/Tex9/Lyplal1/Gm15448/Cdk5rap1/Mcoln3/Cpne8/Flvcr2/Smcr8/Ifi27l2a,ENSMUSG00000058818/ENSMUSG00000090626/ENSMUSG00000039246/ENSMUSG00000074419/ENSMUSG00000027487/ENSMUSG00000036853/ENSMUSG00000052560/ENSMUSG00000034258/ENSMUSG00000049323/ENSMUSG00000079017,C7
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP,11,11/590,187/17849,0.16371441627803437,76916/19200/17132/69106/68910/243362/23943/69993/320727/20970/225845,Timmdc1/Pstpip1/Maf/Stoml1/Zfp467/Stard13/Esyt1/Chn2/Ipo8/Sdc3/Plaat3,ENSMUSG00000002846/ENSMUSG00000032322/ENSMUSG00000055435/ENSMUSG00000032333/ENSMUSG00000068551/ENSMUSG00000016128/ENSMUSG00000025366/ENSMUSG00000004633/ENSMUSG00000040029/ENSMUSG00000025743/ENSMUSG00000060675,C7
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN,11,11/590,187/17849,0.16371441627803437,20910/15331/16534/12527/234577/66401/216001/12568/22273/22166/99100,Stxbp1/Hmgn2/Kcnn4/Cd9/Cpne2/Nudt2/Micu1/Cdk5/Uqcrc1/Txn1/Cep152,ENSMUSG00000026797/ENSMUSG00000003038/ENSMUSG00000054342/ENSMUSG00000030342/ENSMUSG00000034361/ENSMUSG00000028443/ENSMUSG00000020111/ENSMUSG00000028969/ENSMUSG00000025651/ENSMUSG00000028367/ENSMUSG00000068394,C7
GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_UP,11,11/590,187/17849,0.16371441627803437,75345/20354/17152/20304/18797/269252/53902/110954/27176/16449/67248,Slamf7/Sema4d/Mak/Ccl5/Plcb3/Gtf3c4/Rcan3/Rpl10/Rpl7a/Jag1/Rpl39,ENSMUSG00000038179/ENSMUSG00000021451/ENSMUSG00000021363/ENSMUSG00000035042/ENSMUSG00000024960/ENSMUSG00000035666/ENSMUSG00000059713/ENSMUSG00000008682/ENSMUSG00000062647/ENSMUSG00000027276/ENSMUSG00000079641,C7
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_2H_DN,11,11/590,187/17849,0.16371441627803437,71279/14199/102103/12527/218454/13001/20193/228033/17069/229877/67530,Slc29a3/Fhl1/Mtus1/Cd9/Lhfpl2/Csnk2b/S100a1/Atp5g3/Ly6e/Rap1gds1/Uqcrb,ENSMUSG00000020100/ENSMUSG00000023092/ENSMUSG00000045636/ENSMUSG00000030342/ENSMUSG00000045312/ENSMUSG00000024387/ENSMUSG00000044080/ENSMUSG00000018770/ENSMUSG00000022587/ENSMUSG00000028149/ENSMUSG00000021520,C7
GSE37534_GW1929_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN,11,11/590,187/17849,0.16371441627803437,66664/52463/19883/11810/320727/13135/17886/54387/63955/208795/75687,Tmem41a/Tet1/Rora/Apobec1/Ipo8/Dad1/Myh9/Mcm3ap/Cables1/Tmem63a/Ripor1,ENSMUSG00000022856/ENSMUSG00000047146/ENSMUSG00000032238/ENSMUSG00000040613/ENSMUSG00000040029/ENSMUSG00000022174/ENSMUSG00000022443/ENSMUSG00000001150/ENSMUSG00000040957/ENSMUSG00000026519/ENSMUSG00000038604,C7
GSE38696_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP,11,11/590,187/17849,0.16371441627803437,268297/107182/68910/20846/74315/227648/77683/64652/217207/241633/217684,Scml4/Btaf1/Zfp467/Stat1/Rnf145/Sec16a/Ehmt1/Nisch/Dhx8/Atp8b4/Susd6,ENSMUSG00000044770/ENSMUSG00000040565/ENSMUSG00000068551/ENSMUSG00000026104/ENSMUSG00000019189/ENSMUSG00000026924/ENSMUSG00000036893/ENSMUSG00000021910/ENSMUSG00000034931/ENSMUSG00000060131/ENSMUSG00000021133,C7
GSE3982_BCELL_VS_TH2_UP,11,11/590,187/17849,0.16371441627803437,217944/246782/54610/67092/69106/56434/54132/270066/30957/338366/54563,Rapgef5/Atpaf2/Tbc1d8/Gatm/Stoml1/Tspan3/Pdlim1/Slc35e1/Mapk8ip3/Mia3/Nup210,ENSMUSG00000041992/ENSMUSG00000042709/ENSMUSG00000003134/ENSMUSG00000027199/ENSMUSG00000032333/ENSMUSG00000032324/ENSMUSG00000055044/ENSMUSG00000019731/ENSMUSG00000024163/ENSMUSG00000056050/ENSMUSG00000030091,C7
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN,11,11/590,187/17849,0.16371441627803437,100038909/232975/17750/11303/17748/18726/12484/12527/12925/19267/75687,Gm14548/Atp1a3/Mt2/Abca1/Mt1/Lilra6/Cd24a/Cd9/Crip1/Ptpre/Ripor1,ENSMUSG00000074417/ENSMUSG00000040907/ENSMUSG00000031762/ENSMUSG00000015243/ENSMUSG00000031765/ENSMUSG00000030427/ENSMUSG00000047139/ENSMUSG00000030342/ENSMUSG00000006360/ENSMUSG00000041836/ENSMUSG00000038604,C7
GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_UP,12,12/590,210/17849,0.16371441627803437,110557/12481/15018/20430/70789/66454/17158/320528/15040/13039/434341/76933,H2-Q6/Cd2/H2-Q7/Cyfip1/Kynu/Nmnat1/Man2a1/Vps13c/H2-T23/Ctsl/Nlrc5/Ifi27l2a,ENSMUSG00000073409/ENSMUSG00000027863/ENSMUSG00000060550/ENSMUSG00000030447/ENSMUSG00000026866/ENSMUSG00000028992/ENSMUSG00000024085/ENSMUSG00000035284/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000074151/ENSMUSG00000079017,C7
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,12,12/590,210/17849,0.16371441627803437,110557/16004/15018/14744/68910/20846/16330/171212/53902/19221/208795/15040,H2-Q6/Igf2r/H2-Q7/Gpr65/Zfp467/Stat1/Inpp5b/Galnt10/Rcan3/Ptgfrn/Tmem63a/H2-T23,ENSMUSG00000073409/ENSMUSG00000023830/ENSMUSG00000060550/ENSMUSG00000021886/ENSMUSG00000068551/ENSMUSG00000026104/ENSMUSG00000028894/ENSMUSG00000020520/ENSMUSG00000059713/ENSMUSG00000027864/ENSMUSG00000026519/ENSMUSG00000067212,C7
GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP,12,12/590,210/17849,0.16371441627803437,30805/17748/12925/18518/27403/16190/216001/53902/110954/67044/54563/20740,Slc22a4/Mt1/Crip1/Igbp1/Abca7/Il4ra/Micu1/Rcan3/Rpl10/Higd2a/Nup210/Sptan1,ENSMUSG00000020334/ENSMUSG00000031765/ENSMUSG00000006360/ENSMUSG00000031221/ENSMUSG00000035722/ENSMUSG00000030748/ENSMUSG00000020111/ENSMUSG00000059713/ENSMUSG00000008682/ENSMUSG00000025868/ENSMUSG00000030091/ENSMUSG00000057738,C7
GSE36009_UNSTIM_VS_LPS_STIM_NLRP10_KO_DC_UP,12,12/590,210/17849,0.16371441627803437,110557/17750/236539/15018/17748/17913/21825/66889/216161/268373/66079/15040,H2-Q6/Mt2/Phgdh/H2-Q7/Mt1/Myo1c/Thbs1/Rnf128/Sbno2/Ppia/Tmem42/H2-T23,ENSMUSG00000073409/ENSMUSG00000031762/ENSMUSG00000053398/ENSMUSG00000060550/ENSMUSG00000031765/ENSMUSG00000017774/ENSMUSG00000040152/ENSMUSG00000031438/ENSMUSG00000035673/ENSMUSG00000071866/ENSMUSG00000066233/ENSMUSG00000067212,C7
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN,12,12/590,210/17849,0.16371441627803437,110557/16832/140493/15018/80280/20104/171212/18975/30957/15040/19989/20068,H2-Q6/Ldhb/Kcnn3/H2-Q7/Cdk5rap3/Rps6/Galnt10/Polg/Mapk8ip3/H2-T23/Rpl7/Rps17,ENSMUSG00000073409/ENSMUSG00000030246/ENSMUSG00000000794/ENSMUSG00000060550/ENSMUSG00000018669/ENSMUSG00000028495/ENSMUSG00000020520/ENSMUSG00000039176/ENSMUSG00000024163/ENSMUSG00000067212/ENSMUSG00000043716/ENSMUSG00000061787,C7
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_DN,12,12/590,210/17849,0.16371441627803437,110557/72333/114128/12709/15018/434204/13548/329739/78783/16190/15040/19941,H2-Q6/Palld/Laptm4b/Ckb/H2-Q7/Whamm/Dyrk1a/Fam102b/Brpf1/Il4ra/H2-T23/Rpl26,ENSMUSG00000073409/ENSMUSG00000058056/ENSMUSG00000022257/ENSMUSG00000001270/ENSMUSG00000060550/ENSMUSG00000045795/ENSMUSG00000022897/ENSMUSG00000040339/ENSMUSG00000001632/ENSMUSG00000030748/ENSMUSG00000067212/ENSMUSG00000060938,C7
GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_DN,10,10/590,165/17849,0.16649452501722214,16004/19364/26407/74315/171212/228136/239985/20848/20933/19359,Igf2r/Rad51d/Map3k4/Rnf145/Galnt10/Zdhhc5/Arid1b/Stat3/Med22/Rad23b,ENSMUSG00000023830/ENSMUSG00000018841/ENSMUSG00000014426/ENSMUSG00000019189/ENSMUSG00000020520/ENSMUSG00000034075/ENSMUSG00000069729/ENSMUSG00000004040/ENSMUSG00000015776/ENSMUSG00000028426,C7
GSE21033_3H_VS_24H_POLYIC_STIM_DC_DN,10,10/590,165/17849,0.16649452501722214,54132/23943/12527/66890/217664/18797/66521/20933/67044/241633,Pdlim1/Esyt1/Cd9/Lman2/Mgat2/Plcb3/Rwdd1/Med22/Higd2a/Atp8b4,ENSMUSG00000055044/ENSMUSG00000025366/ENSMUSG00000030342/ENSMUSG00000021484/ENSMUSG00000043998/ENSMUSG00000024960/ENSMUSG00000019782/ENSMUSG00000015776/ENSMUSG00000025868/ENSMUSG00000060131,C7
GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP,11,11/590,188/17849,0.16796763116092522,13823/215632/17179/214968/235627/12925/20970/239985/193796/30957/76933,Epb41l3/Psd4/Matk/Sema6d/Nbeal2/Crip1/Sdc3/Arid1b/Kdm4b/Mapk8ip3/Ifi27l2a,ENSMUSG00000024044/ENSMUSG00000026979/ENSMUSG00000004933/ENSMUSG00000027200/ENSMUSG00000056724/ENSMUSG00000006360/ENSMUSG00000025743/ENSMUSG00000069729/ENSMUSG00000024201/ENSMUSG00000024163/ENSMUSG00000079017,C7
GSE40274_CTRL_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,11,11/590,188/17849,0.16796763116092522,72333/320119/67092/18636/67299/11816/100502841/11428/329251/54387/26390,Palld/Rps6kc1/Gatm/Cfp/Dock7/Apoe/Epg5/Aco1/Ppp1r12b/Mcm3ap/Mapkbp1,ENSMUSG00000058056/ENSMUSG00000089872/ENSMUSG00000027199/ENSMUSG00000001128/ENSMUSG00000028556/ENSMUSG00000002985/ENSMUSG00000039840/ENSMUSG00000028405/ENSMUSG00000073557/ENSMUSG00000001150/ENSMUSG00000033902,C7
GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP,11,11/590,188/17849,0.16796763116092522,104759/17179/238377/17748/17381/20510/22334/99138/434341/75901/67530,Pld4/Matk/Gpr68/Mt1/Mmp12/Slc1a1/Vdac2/Stard7/Nlrc5/Dcp1a/Uqcrb,ENSMUSG00000052160/ENSMUSG00000004933/ENSMUSG00000047415/ENSMUSG00000031765/ENSMUSG00000049723/ENSMUSG00000024935/ENSMUSG00000021771/ENSMUSG00000027367/ENSMUSG00000074151/ENSMUSG00000021962/ENSMUSG00000021520,C7
GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP,11,11/590,188/17849,0.16796763116092522,217304/104759/68910/79362/212503/17979/218454/100855/107197/230809/27368,Cd300lb/Pld4/Zfp467/Bhlhe41/Paox/Ncoa3/Lhfpl2/Tbc1d14/Uqcc3/Pdik1l/Tbl2,ENSMUSG00000063193/ENSMUSG00000052160/ENSMUSG00000068551/ENSMUSG00000030256/ENSMUSG00000025464/ENSMUSG00000027678/ENSMUSG00000045312/ENSMUSG00000029192/ENSMUSG00000071654/ENSMUSG00000050890/ENSMUSG00000005374,C7
GSE21360_NAIVE_VS_TERTIARY_MEMORY_CD8_TCELL_UP,11,11/590,189/17849,0.1725546213306206,52855/105522/77579/14199/67865/76969/23943/11428/223753/110954/14248,Lair1/Ankrd28/Myh10/Fhl1/Rgs10/Chst1/Esyt1/Aco1/Cerk/Rpl10/Flii,ENSMUSG00000055541/ENSMUSG00000014496/ENSMUSG00000020900/ENSMUSG00000023092/ENSMUSG00000030844/ENSMUSG00000027221/ENSMUSG00000025366/ENSMUSG00000028405/ENSMUSG00000035891/ENSMUSG00000008682/ENSMUSG00000002812,C7
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_2H_DN,11,11/590,189/17849,0.1725546213306206,19200/66971/21887/23943/69993/66154/56453/12568/76551/66462/71918,Pstpip1/Cdk5rap1/Tle3/Esyt1/Chn2/Tmem14c/Mbtps1/Cdk5/Ccdc6/Rex1bd/Zcchc24,ENSMUSG00000032322/ENSMUSG00000027487/ENSMUSG00000032280/ENSMUSG00000025366/ENSMUSG00000004633/ENSMUSG00000021361/ENSMUSG00000031835/ENSMUSG00000028969/ENSMUSG00000048701/ENSMUSG00000058833/ENSMUSG00000055538,C7
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_UP,11,11/590,189/17849,0.1725546213306206,15925/76267/72333/20304/17132/217721/192187/227644/108954/64652/22166,Ide/Fads1/Palld/Ccl5/Maf/Flvcr2/Stab1/Snapc4/Ppp1r15b/Nisch/Txn1,ENSMUSG00000056999/ENSMUSG00000010663/ENSMUSG00000058056/ENSMUSG00000035042/ENSMUSG00000055435/ENSMUSG00000034258/ENSMUSG00000042286/ENSMUSG00000036281/ENSMUSG00000046062/ENSMUSG00000021910/ENSMUSG00000028367,C7
GSE3920_UNTREATED_VS_IFNA_TREATED_FIBROBLAST_UP,11,11/590,189/17849,0.1725546213306206,58205/17750/228765/19883/64209/26409/244668/12874/11911/30957/18263,Pdcd1lg2/Mt2/Sdcbp2/Rora/Herpud1/Map3k7/Sipa1l2/Cpd/Atf4/Mapk8ip3/Odc1,ENSMUSG00000016498/ENSMUSG00000031762/ENSMUSG00000027456/ENSMUSG00000032238/ENSMUSG00000031770/ENSMUSG00000028284/ENSMUSG00000001995/ENSMUSG00000020841/ENSMUSG00000042406/ENSMUSG00000024163/ENSMUSG00000011179,C7
GSE4590_LARGE_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_DN,11,11/590,189/17849,0.1725546213306206,210992/12481/11492/67865/226844/19240/26407/19087/20969/16452/170822,Lpcat1/Cd2/Adam19/Rgs10/Flvcr1/Tmsb10/Map3k4/Prkar2a/Sdc1/Jak2/Usp33,ENSMUSG00000021608/ENSMUSG00000027863/ENSMUSG00000011256/ENSMUSG00000030844/ENSMUSG00000066595/ENSMUSG00000079523/ENSMUSG00000014426/ENSMUSG00000032601/ENSMUSG00000020592/ENSMUSG00000024789/ENSMUSG00000025437,C7
